ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.080794504,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0
8.099124189,224.2362594,19909.54173,9.275883603,333.7757766,418.6062131,16.86863693,66.42009251,3.05593375,0
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0
7.080794504,118.9885791,14285.58385,7.804173553,268.6469407,389.3755659,12.70604897,53.92884577,3.595017181,0
7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,0
7.974521649,218.6933005,18767.65668,8.110384501,333.7757766,364.0982305,14.5257457,76.48591118,4.011718108,0
7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,0
7.080794504,150.1749234,27331.36196,6.838223471,299.4157813,379.7618348,19.37080718,76.50999553,4.413974183,0
7.496232208,205.3449822,28388.00489,5.072557774,333.7757766,444.6453523,13.2283111,70.30021265,4.777382337,0
6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,0
7.0517858,211.0494061,30980.60079,10.09479601,333.7757766,315.1412672,20.39702184,56.65160379,4.268428858,0
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0
7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0
